paragraph_idx,page,entity1_name,entity2_name,cosine_similarity,levenshtein_similarity,should_merge,confidence,reasoning
17,325,fifth century BC,tenth century BC,0.7106096097784155,0.8125,False,0.84,"The two entities are different centuries (fifth century BC vs tenth century BC), representing distinct time periods. They are not the same historical entity and should not be merged."
17,325,fifth century BC,seventh century BC,0.7079113218692216,0.7222222222222222,False,0.9,These are two distinct centuries (fifth century BC vs seventh century BC). They are different time intervals and not the same historical entity. They are related as temporal periods but not identical.
17,325,Athenian empire,Roman Empire,0.7235985415386003,0.6,False,0.85,"The Athenian empire (the empire of Athens) and the Roman Empire are distinct historical states: different polities, time periods, geography, and institutions. They are related as empires and used comparatively in the text, but they are not the same entity and should not be merged."
18,326,Roman,Romans,0.751562792248712,0.8333333333333334,True,0.86,Both entries clearly refer to the people of Rome (singular vs plural naming and slightly different descriptions). They describe the same collective group: Romans who supplanted Etruscan power and valued continuity of republican traditions. Therefore they should be merged.
18,326,Romans,Rome,0.568355510643151,0.6,False,0.78,"Entity 1 refers to the people/citizen body of Rome (the Romans), a collective social/political group. Entity 2 refers to the city/place of Rome. These are related but distinct: one is a population/people/civic community, the other is a geographic/political city. They are not strictly the same entity and should not be merged."
19,326,Samnite peoples,Latin peoples,0.6123332092194265,0.6666666666666667,False,0.86,The Samnite peoples and the Latin peoples are distinct historical ethnic/tribal groups in ancient Italy. The Samnites were tribes from the Abruzzi/central-southern Apennines; the Latins were the peoples of Latium who interacted with and later dominated or allied with Rome. They are related as contemporaneous Italic groups but are not the same entity.
20,326,western Mediterranean,Roman Mediterranean,0.7144344503959573,0.7142857142857143,False,0.86,"The two names refer to different regional concepts: 'western Mediterranean' denotes the western part of the Mediterranean basin (a geographic/political theater contested between Rome and Carthage), while 'Roman Mediterranean' describes the Mediterranean as reorganized and dominated by Rome (an imperial/administrative region made possible by Roman institutions). They are related (overlap geographically and historically) but are not strictly identical—the first is a geographic subregion, the second is a Roman-created imperial sphere."
22,327,Roman provinces,Roman people,0.6883332069149428,0.6,False,0.95,"The two entities refer to different concepts: one is the territorial/administrative divisions of Roman territory ('Roman provinces'), while the other refers to the body of Roman citizens or populace ('Roman people' / 'the people'). They are related (provinces were governed on behalf of Rome and its people), but they are not the same historical entity and should not be merged."
23,327,Greek cities,Greek city-states,0.6861314186575082,0.6470588235294117,False,0.84,"One refers to 'Greek cities' (cities in Spain promised Roman protection) — a group of individual Greek city communities in a geographic/temporal context. The other refers to 'Greek city-states' as a political form (city-state/polis) similar to Rome's assemblies. These are related concepts (both about Greek poleis) but not strictly the same extracted entity: one is a specific set of Greek cities in Spain (a particular group/location/context), the other is the general political form (Greek city-states/poleis). They are not identical and should not be merged."
23,327,Greek cities,western Greek cities,0.764729779521796,0.6,True,0.74,"Both names refer to Greek cities as a collective group; one phrase is simply more specific ('western Greek cities') but does not indicate a different entity type. The two mentions appear to denote the same category of entities (Greek cities), with the second merely specifying a geographic subset. Without evidence that 'western Greek cities' refers to a distinct, separate organized entity, they should be treated as the same collective entity for normalization, while the geographic qualifier can be recorded in descriptions or attributes if needed."
24,327,New Carthage,Carthage,0.6518805038704243,0.6666666666666667,False,0.9,"New Carthage (Cartagena) is a different city founded as a Phoenician/Carthaginian colony on the Iberian coast and captured by the Romans in 209 BC. Carthage refers to the ancient city-state in North Africa (and the Carthaginian state) that was Rome's rival. They are distinct places and political entities, not the same entity."
24,327,New Carthage,Carthaginians,0.6161299403409393,0.6153846153846154,False,0.86,"New Carthage (a city, also called Cartagena) is a place. Carthaginians (the people/collective, Carthaginian power) are the people/state associated with Carthage and its colonies in Spain. They are related (the city was established/held by Carthaginians and involved in the Second Punic War) but are different entity types (place vs people/collective), so they should not be merged."
28,329,third Punic War,second Punic War,0.7438872274177207,0.6875,False,0.86,"The two names refer to different wars in the Punic Wars series: the Second Punic War (famous conflict with Hannibal, 218–201 BC) and the Third Punic War (the final war beginning in 149 BC). They are related but distinct events, so they should not be merged."
29,330,Carthaginian,Carthaginians,0.862352272862767,0.9230769230769231,True,0.9,"Both mentions refer to the same collective group: the people of Carthage (Carthaginians). The descriptions overlap (people of Carthage, involved in the Second Punic War, overcome by Rome). Variants differ only in pluralization and an alias phrase. No evidence they refer to different subsets or time periods."
29,330,Carthaginians,New Carthage,0.5783690063135883,0.6666666666666667,False,0.9,"One entity is a people/collective (the Carthaginians); the other is a specific city/place (New Carthage / Cartagena). They are related (city founded/held by Carthaginians and captured by Rome in 209 BC) but are different types and not the same single historical entity, so they should not be merged."
29,330,satellites,Samnite peoples,0.532217607552483,0.6,False,0.82,"The term 'satellites' as described (“Groups subordinate to the Roman empire providing manpower”) is a generic category of subordinate peoples or states, not a specific ethnic group. 'Samnite peoples' (Samnites) are a specific ethnic group from the Abruzzi conquered by Rome and could be examples of such subordinate peoples, but they are not identical to the general category 'satellites'. Therefore they should not be merged."
29,330,provinces,Roman provinces,0.8482568535027368,0.6,True,0.9,"Both entries refer to the same concept: the administrative divisions of the Roman state commonly called Roman provinces. The first is a generic label 'provinces' described as the basic units of the Roman Empire ruled by governors; the second explicitly names 'Roman provinces' with the same meaning. There is no indication they denote different sets, time periods, or senses, so they should be merged."
30,330,governors,governor,0.66788411248581,0.8888888888888888,True,0.82,Entity 1 is a plural collective label for officials chosen by the Senate to govern new provinces; Entity 2 describes a single official (a governor) with proconsular powers serving one-year terms. These refer to the same role/type of historical office (governor) but one is a collective noun and the other is an individual instance. They are not distinct historical entities; they describe the same office. Therefore they should be merged into a single canonical entity describing the governor role.
30,330,new provinces,Roman provinces,0.7075115900999558,0.6923076923076923,True,0.87,"Both descriptions refer to the same concept: territorial units governed by governors appointed by Rome/Senate, i.e., Roman provinces. ""new provinces"" is a vague mention but matches the definition and function of Roman provinces described in Entity 2. They are not distinct entities but the same category of administrative territorial units."
30,330,special court,Seleucid court,0.40116797567353835,0.6428571428571428,False,0.98,Entity 1 is a judicial body (a special court established in 149 BC to try extortion by officials). Entity 2 is a geographical/place reference (the Seleucid court/place where Hannibal was exiled). They are different in type (organization vs place) and refer to distinct concepts: a Roman special tribunal vs the Seleucid royal court/seat in the Seleucid realm. Not the same entity.
31,331,first century BC,fifth century BC,0.6783951183010308,0.8125,False,0.9,"The two entities are different centuries (first century BC vs fifth century BC), distinct time periods separated by several centuries and described with different historical events. They are not the same entity and should not be merged."
31,331,first century BC,tenth century BC,0.6546457150797581,0.6875,False,0.96,These are two distinct centuries in different millennia (1st century BC vs 10th century BC). They are different time periods and not the same historical entity.
31,331,first century BC,seventh century BC,0.6456106907867314,0.6666666666666667,False,0.95,The two entities are different centuries (1st century BC vs 7th century BC). They are distinct temporal intervals and refer to different time periods and contexts (moralizing decline vs emergence of Etruscan civilization). Not the same entity.
32,331,Roman culture,Roman Empire,0.6189443983782386,0.6153846153846154,False,0.86,"The two entities refer to different concepts: one is the culture (a cultural phenomenon/practices/influence) of Rome, the other is the political/state entity (the Roman Empire). They are related but not identical—the culture persists beyond and across political forms and is distinct from the imperial state organization. Therefore they should not be merged."
32,331,Roman culture,Roman census,0.5412418608327493,0.6153846153846154,False,0.94,"The two entities refer to different concepts: one is the broad cultural sphere/practices of Rome, the other is a specific administrative event/procedure (the Roman census). They are related (the census is part of Roman society) but not identical."
35,333,Gaul,Gauls,0.7081978505762071,0.8,False,0.95,The two referents are related but distinct: 'Gaul' is a geographic region (place/region) whereas 'Gauls' are the people (collective_entity) who inhabited that region and conducted incursions. They are not strictly identical entities and should not be merged.
35,333,Transalpine Gaul,Po valley,0.5933459633108001,0.75,False,0.86,"These are two distinct Roman provincial regions: Transalpine Gaul (southern France, established as a province in 121 BC) and Cisalpine Gaul / the Po valley (the Po valley region given provincial status later, 89 BC). They are neighboring and related but not the same entity, so they should not be merged."
35,333,Transalpine Gaul,southern Spain,0.697361585415957,0.6666666666666667,False,0.9,"Transalpine Gaul (southern France, Roman province established 121 BC) and 'southern Spain' are distinct geographic regions. They refer to different parts of the Iberian Peninsula vs. Gaul/Gaulish region in what is now southern France, so they are not the same entity."
40,336,Mediterranean,Roman Mediterranean,0.6246390025992596,0.6842105263157895,False,0.91,The two mentions refer to different senses: one is the Mediterranean Sea (a physical body of water where Pompey fought piracy) and the other is the Roman Mediterranean as a political/administrative region shaped by Rome's institutions. These are related (the sea vs. the regional/political domain) but not identical entities.
40,336,Mediterranean,western Mediterranean,0.640802599200003,0.6190476190476191,False,0.84,"These refer to related but distinct entities: one is the Mediterranean Sea as a body of water, the other is the western Mediterranean as a subregion of that sea/region. They are not strictly identical—the western Mediterranean is a part/region of the Mediterranean, not the entire sea—so they should not be merged."
44,339,Julian calendar,Julius Caesar,0.48354182990421773,0.6666666666666667,False,0.91,The Julian calendar is a calendar reform introduced by Julius Caesar; it is an object/concept (cultural) distinct from the person Julius Caesar. They are related but not the same entity.
44,339,Hellenistic Alexandria,Hellenistic East,0.5944387390008617,0.6363636363636364,False,0.9,"Entity 1 is a specific city (Alexandria, founded in the Hellenistic period and associated with individual figures such as an Alexandrian astronomer). Entity 2 is a broad cultural/geographical region ('Hellenistic East') describing the eastern Mediterranean lands influenced by Hellenism. They are related (Alexandria lies within the Hellenistic East) but are not the same entity type or referent."
45,340,Parthians,Carthaginians,0.5703957356074378,0.6153846153846154,False,0.91,"The Parthians and the Carthaginians are distinct peoples from different regions and historical contexts: the Parthians were an eastern Iranian people/empire (relevant to Roman eastern campaigns), while the Carthaginians were a North African/Phoenician-derived maritime power involved in the Punic Wars against Rome. Their names, geography, timeframes, and historical roles do not match, so they should not be merged."
49,341,frontier provinces,Roman provinces,0.5590841364165877,0.6666666666666667,False,0.85,"Entity 1 ('frontier provinces') refers to a subset/description of provinces at Rome's frontiers where legions were stationed; Entity 2 ('Roman provinces') denotes the general administrative territorial units of Roman rule. These are related (frontier provinces are a type of Roman province) but not strictly identical—the first is a descriptive subset, the second is the general category."
49,341,frontier provinces,Roman provinces,0.6280300341913643,0.6666666666666667,False,0.74,"Entity 1 ('frontier provinces') refers specifically to provinces on Rome's frontiers where legions were stationed and Octavian commanded troops — a subset or descriptive phrase. Entity 2 ('Roman provinces') denotes the general administrative units of Roman rule (all provinces). The terms are related (frontier provinces are a type of Roman province) but are not strictly identical: one is a specific subset/descriptor, the other is the general category. Therefore they should not be merged."
52,343,Tiberius,River Tiber,0.5384603696870846,0.625,False,0.9,"One entity is a Roman emperor (person) and the other is a river (place). They are different types and clearly distinct historical entities despite the shared token ""Tiber"". Not the same entity."
54,344,Nerva,Nero,0.6280277500088604,0.6,False,0.9,"Nerva and Nero are distinct Roman emperors who lived and reigned at different times (Nero died AD 68; Nerva became emperor after AD 96). Their names, descriptions, roles, and dates differ, so they are not the same individual."
56,345,Romania,Romans,0.4814419195004333,0.7142857142857143,False,0.9,"These are distinct: 'Romania' (later name for the region Dacia) is a place/region, while 'Romans' refers to the people/citizenry of Rome (a collective entity). They are related historically (Romans conquered Dacia and influenced the region), but they are not the same entity type or the same referent, so they should not be merged."
56,345,Romania,Romans,0.527231383835049,0.7142857142857143,False,0.93,"The two entities refer to different kinds of things: 'Romania' (as given, a place/region and described as the later name for Dacia) is a geographic/political region, whereas 'Romans' are a people/collective entity (the inhabitants/citizens of Rome). They are related historically (Romans as a people occupied or influenced regions including Dacia), but they are not the same single entity and should not be merged."
56,345,Roman rule,Roman culture,0.5562569654668715,0.6923076923076923,False,0.86,"'Roman rule' (the political control of the Roman Empire) and 'Roman culture' (the culture of Rome influenced by Greek culture) refer to distinct concepts: one denotes political/state authority or governance, the other denotes cultural practices and influences. They are related but not identical, so they should not be merged."
56,345,Roman rule,Roman people,0.7406923094017338,0.6666666666666667,False,0.9,"'Roman rule' (the political control of the Roman Empire) describes the system or exercise of governance, whereas 'Roman people' (the people as sovereign, acting through assemblies) denotes the collective populace/citizen body. These are related concepts (one concerns who rules or the form of rule; the other concerns the body that holds sovereignty) but they are distinct entity types (state/collective rule vs people). They are not identical and should not be merged."
56,345,Roman rule,Roman Republic,0.7554377008533608,0.6428571428571428,False,0.78,"'Roman rule' (the political control of the Roman Empire) is a generic phrase referring to governance/authority, while 'Roman Republic' is a specific historical state/political system. They are related but not strictly identical: the Republic is one specific form/period of Roman rule. Therefore they should not be merged."
56,345,Romania,Campania,0.5761871503751114,0.625,False,0.96,"The two entities are different geographic regions: Romania (later name for Dacia, in Eastern Europe) and Campania (region in southern Italy where the Latins were established). They are distinct historical places and not the same entity."
56,345,Roman rule,Roman army,0.7285550131206366,0.6,False,0.92,"The two entities refer to different concepts: 'Roman rule' denotes the political control or governance of Rome/the Roman state, whereas 'Roman army' (aka 'army') denotes the military organization that served under Roman authority. They are related (the army operated under Roman rule) but are not the same entity or interchangeable labels for the same thing."
56,345,Dacia,Asia,0.5334609795813681,0.6,False,0.9,"Dacia (a region later corresponding roughly to Romania, conquered by Trajan) and Asia (a region/continent or a Roman client kingdom/province in the Middle East) are distinct historical geographical entities with different locations and histories. They are related only as both are places within or adjacent to the Roman world but are not the same entity."
56,345,Romania,Roman army,0.4628630734155206,0.6,False,0.88,"These refer to different kinds of entities: Romania (a region/place, later name for Dacia) versus the Roman army (a military organization). They are related historically (Roman army operated in Dacia/Romania) but are not the same entity."
57,345,Parthia,Parthians,0.6783038966247895,0.7777777777777778,False,0.88,"Parthia (a state/region/kingdom) and the Parthians (the people of that state) are closely related but are different entity types: one is a political/geographical state, the other is the people/ethnic group. The instruction requires merging only strictly identical entities. These are related but not identical, so do not merge."
57,345,Euphrates,Pirates,0.2235175166172316,0.6666666666666667,False,0.41,One entity is a river (Euphrates) and the other is a group of pirates who captured Julius Caesar. They are different types (place vs people) and clearly distinct historical entities with no identity overlap.
58,345,Armenia,Sardinia,0.5157840690663689,0.625,False,0.95,Armenia and Sardinia are two distinct geographical regions/islands with different historical identities and locations. The descriptions for Sardinia reference Roman activity there; nothing ties it to Armenia. They are not the same entity.
58,345,Armenia,Arminius,0.27113467083623705,0.625,False,0.85,Armenia is a geographic region/place; Arminius is a Germanic person (leader of Teutonic tribes). They are distinct types and refer to entirely different historical entities with no identity overlap.
59,346,Roman standards,Roman Senate,0.3963245559038211,0.6,False,0.9,"The two entities refer to completely different concepts: 'Roman standards' are military emblems/standards captured from Crassus, whereas the 'Roman Senate' is a political governing body/collective organization. They are neither identical nor alternate names of the same entity."
60,346,Paris,Marius,0.2759197548387713,0.6666666666666667,False,0.9,"One entity is a place (Paris, a city) and the other is a person (Marius, a Roman consul). They are different types and clearly distinct historical entities, so they should not be merged."
60,346,Germanic peoples,Latin peoples,0.5627929320718275,0.625,False,0.98,"The two entities refer to distinct groups of peoples: 'Germanic peoples' are tribes north/east of the Rhine defined by linguistic/ethnic criteria, whereas 'Latin peoples' are the Italic group centered on Latium who challenged Etruscan power. They are neither the same people nor alternative names for one another—so they should not be merged."
60,346,Germanic peoples,Roman people,0.56248254209187,0.625,False,0.95,"These are distinct collective groups: 'Germanic peoples' refers to various tribes/peoples east of the Rhine, while 'Roman people' (the people) refers to the citizen body of Rome exercising sovereignty. They are different entities, not different names for the same entity."
60,346,Germanic peoples,Samnite peoples,0.5026128432731759,0.625,False,0.78,"The Germanic peoples are a broad group of tribes in northern/central Europe defined by language and frontier divisions; the Samnite peoples (Samnites) are a specific Italic people from the Abruzzi region conquered by Rome. They are distinct ethnic groups in different regions and historical contexts, not the same entity."
61,346,Greeks,Greek,0.4755793621327974,0.8333333333333334,False,0.72,"Entity 1 refers to a group of people ('Greeks') while Entity 2 refers to the culture or cultural sphere ('Greek') specifically noted as the source of the Etruscan alphabet. These are related but not strictly identical: one is a people (collective_entity/people), the other is a cultural designation. They should not be merged because they represent different entity types (people vs culture) and different focuses in the text."
61,346,Greeks,Greece,0.5456057851167814,0.6666666666666667,False,0.86,"One entity is a collective group of people ('Greeks'), the other is a geographic region ('Greece'). They are related but not identical: the people and the place are distinct entity types and should not be merged."
61,346,Persians,plebs,0.6045849424158988,0.6666666666666667,False,0.98,"These refer to different collective groups: 'Persians' denotes the people of Persia (an ethnic/national group), while 'plebs' (plebeians) are the commoner social class in Roman society. They are distinct in identity, location, and historical role, so they should not be merged."
61,346,Persians,Parthians,0.64404843110685,0.6666666666666667,False,0.78,'Persians' refers to the people of Persia (the Iranian peoples associated with the Achaemenid/ later Persian states). 'Parthians' refers specifically to the Parthian people/Parthian Empire (Arsacid dynasty) from northeastern Iran; they are a distinct group and political entity from the Persians. Descriptions reference different historical roles (internal government problems of the Persian empire vs eastern people interacting with Rome). These are related (both Iranian) but not identical.
64,348,Italian,Italians,0.7776162882843918,0.875,True,0.77,Both entries refer to the same collective group: people of Italian descent / the Italians (people allied to Rome and subject to conscription). The second is a context-specific description of the same population (Italians) in relation to Rome. They are not distinct entities; one is singular/adjective form and the other plural/noun with contextual detail. Merge and keep canonical plural name 'Italians'.
64,348,Italians,Octavian,0.3039832739754346,0.625,False,0.93,"One entity is a collective ethnic/political group (Italians, inhabitants of the Italian peninsula) and the other is a single historical person (Octavian/Augustus). They are different entity types and not identical; Octavian is an individual Roman leader, not equivalent to the people called Italians."
65,348,Latin,Latins,0.6049403927754976,0.8333333333333334,False,0.9,"The first entity is the Latin language (cultural/language). The second is the Latins, a people/ethnic group from the region of Latium/Campania including early Rome. These are related (the Latins spoke Latin) but are distinct types: one is a language, the other a people. They are not the same historical entity and should not be merged."
65,348,Greeks of the Hellenistic era,Hellenistic East,0.5664721644826824,0.7222222222222222,False,0.9,"The first entity is a people group ('Greeks of the Hellenistic era'), while the second is a geographic region influenced by Hellenistic culture ('Hellenistic East'). They are related (the people inhabited/influenced the region and cultural practices flowed from the Hellenistic East to Rome) but they are distinct types (collective people vs place/region) and not identical."
65,348,Hellenistic civilization,Etruscan civilization,0.5282945552281747,0.625,False,0.96,The two entities refer to distinct civilizations: the Hellenistic civilization (Greek-influenced cultures after Alexander the Great) is separate from the Etruscan civilization (the pre-Roman people of central Italy). They are related as both are ancient civilizations but are not the same entity.
66,348,Roman sculpture,Roman culture,0.6537049014036961,0.8666666666666667,False,0.86,"The two entities refer to different concepts: one is a specific art form ('Roman sculpture') and the other is the broader societal/cultural system ('Roman culture' / 'Rome's culture'). While related (Roman sculpture is part of Roman culture), they are not identical and should not be merged."
66,348,Greek background,Greek influence,0.7925775242724855,0.6470588235294117,True,0.88,Both entries describe the same concept: the cultural/intellectual impact of Greece on other societies. Names differ only in wording ('background' vs 'influence') and aliases overlap. No evidence they refer to distinct concepts.
66,348,Roman thinkers,Roman provinces,0.5705865508000432,0.6,False,0.9,The two entities refer to different kinds of things: one is a collective of people (thinkers from Rome) and the other is a territorial/administrative collective (Roman provinces). They are related historically but are distinct entity types and not identical.
66,348,Roman thinkers,Roman standards,0.4478441468235366,0.6,False,0.9,"The two entities refer to clearly different concepts: one is a collective group of people ('Roman thinkers' concerned with moral and political traditions), the other is an object/artefact ('Roman standards' — military standards taken from Crassus). They are neither identical nor alternate names for the same thing."
66,348,Roman sculpture,Roman Empire,0.4523630695733749,0.6,False,0.88,"The first entity is an art form ('Roman sculpture'), a cultural category, while the second is a political collective entity ('Roman Empire'). They are different types of entities (cultural artifact vs state) and not identical; one describes sculpture produced in Roman contexts, the other describes the empire/political entity. They are related but not the same."
66,348,Roman sculpture,Roman Senate,0.4303520537993999,0.6,False,0.87,"The two entities refer to different categories: one is an art form ('Roman sculpture'), the other is an institutional political body ('Roman Senate'). They are distinct and not the same historical entity."
66,348,Roman sculpture,Roman rule,0.4531769939218509,0.6,False,0.88,"The two entities refer to different concepts: 'Roman sculpture' is an artistic/cultural topic (sculpture produced by Romans), while 'Roman rule' denotes the political control or governance of Rome/the Roman state. They are related but not identical and should not be merged."
68,350,Roman civilization,Etruscan civilization,0.6160125865570187,0.7619047619047619,False,0.89,"Roman civilization and Etruscan civilization are distinct cultural entities. The Etruscans were a separate pre-Roman/neighboring civilization that influenced early Rome, but they are not the same civilization and should not be merged."
68,350,Roman civilization,Greek civilization,0.7622148394940468,0.7222222222222222,False,0.9,"The two entities refer to distinct civilizations: one is the Roman civilization and the other is the Greek civilization. The second explicitly describes the Greek civilization and its interactions with Rome (reshaped by Rome and remained in contact). They are related but not identical, so they should not be merged."
70,351,Pliny,Livy,0.4929462899932642,0.6,False,0.84,"Pliny (younger Pliny), a Roman senator, and Livy, the Roman historian (Titus Livius), are distinct historical individuals with different roles and identities. They should not be merged."
74,354,res publica,Roman Republic,0.4843404610438816,0.7272727272727273,True,0.77,"The Latin term 'res publica' literally means 'public affair' and was used by Romans to refer to the public/state and the res publica specifically denotes the Roman Republic as a political system and state. The first entity describes 'res publica' as a series of rituals whose maintenance was good for the state, which is a cultural/practical aspect of the Roman res publica but not a distinct entity separate from the Roman Republic. Both mentions point to the same Roman political/pubic entity (the Roman Republic), so they should be merged."
74,354,Roman religion,legions,0.4170954998435139,0.7142857142857143,False,0.85,"The two entities refer to different concepts: 'Roman religion' is a cultural/religious institution and practice, while 'legions' (Roman legions) are military units/organization. They are related (legions are part of Roman society) but not the same entity."
74,354,Roman religion,Roman ruling élite,0.5421437694964926,0.6111111111111112,False,0.95,"The two entities refer to different concepts: one is the religious system/practices of Rome (a cultural institution), the other is the political/social ruling elite (a collective of people). They are related but not identical and should not be merged."
74,354,Roman religion,Roman civilization,0.6824409728343513,0.6111111111111112,False,0.83,"'Roman religion' is a specific aspect/practice within the broader 'Roman civilization' or 'Roman culture'. They are related but not identical: one is the religion/ritual system, the other is the overall civilization/culture. They should not be merged."
77,355,imperial cult,Pax Romana,0.383721287928413,0.6428571428571428,False,0.91,"The imperial cult (a religious practice venerating the emperor and promoting divine kingship) is a cultural/religious phenomenon, while the Pax Romana (imperial peace) is a historical period or condition of relative peace and stability across the Roman Empire. They are related—the imperial cult helped legitimize imperial authority that contributed to stability—but they are distinct types of phenomena (religious practice vs. period/condition/event) and not identical."
77,355,imperial cult,special court,0.3518855716050293,0.6153846153846154,False,0.89,"The two entities refer to entirely different concepts: 'imperial cult' is a religious practice/institution linking divine kingship across the Roman Empire, while 'special court' is a specific judicial body created in 149 BC to handle illegal extortion by officials. They are neither the same organization nor alternate names for one another."
79,356,Roman pantheon,Greek,0.46375507016776707,0.6428571428571428,False,0.7,"The two entities refer to different cultural pantheons: one specifically the Roman pantheon (Roman gods and beliefs), the other is a broader Greek culture entry that includes 'The collection of Greek gods and religious beliefs' and has alias 'Greek pantheon'. They are related (both are ancient polytheistic pantheons) but not the same entity. They should not be merged."
80,356,brahmans,Romans,0.44200192908341157,0.625,False,0.91,"'brahmans' refers to a Hindu priestly/ religious caste group in India; 'Romans' refers to the people of Rome in antiquity. They are distinct, unrelated collective ethnic/social groups. No overlap in identity or referent."
81,357,Mithras,Mithridates,0.4422613873101729,0.6363636363636364,False,0.9,"Mithras is a deity from Zoroastrian/Roman mystery cults, while Mithridates is a historical human king of Pontus. They are different types (cultural deity vs person) and unrelated as identical entities."
82,357,Hellenistic kingdoms,Greeks of the Hellenistic era,0.5603010113261453,0.65,False,0.84,"The two referents are related but not identical. Entity 1 denotes Hellenistic kingdoms (states/polities that emerged after Alexander, e.g., Seleucid, Ptolemaic) while Entity 2 denotes the Greek people of the Hellenistic era (Hellenistic Greeks). One is a collection of states (political entities); the other is a people/cultural group. They are distinct types and should not be merged."
82,357,Hellenistic kingdoms,Hellenistic East,0.5766276917913568,0.6,False,0.82,"The two refer to related but distinct concepts: 'Hellenistic kingdoms' denotes the successor states/political entities formed after Alexander (e.g., Seleucid, Ptolemaic) while 'Hellenistic East' denotes the broader geographic/cultural region influenced by Hellenistic culture. One is a collective of states (political entities), the other is a region/cultural area. They are not strictly identical, though closely related."
84,359,Roman legionary,legions,0.6703183199544109,0.8,False,0.77,"Entity 1 refers to individual soldiers (legionaries) and their service length. Entity 2 refers to legions as organizational units (the legions, number, placements, standards). These are related (soldiers serve in legions) but are distinct types: one is people (collective of individuals) and the other is an organization/unit. They are not identical and should not be merged."
84,359,senators,Roman Senate,0.6700887634827754,0.625,False,0.9,"Entity 1 (“senators”) refers to the members (people) of the Roman Senate, i.e., individual office-holders/collective membership. Entity 2 (“Roman Senate”) is the political organization/institution itself. These are related but not identical: one denotes the people (senators) while the other denotes the governing body (the Senate). They should not be merged because they represent different entity types (people vs organization)."
84,359,Roman legionary,Roman Senate,0.5408192258518455,0.6,False,0.92,"These are different kinds of entities: one is the individual soldier collective ('Roman legionary', people/service), the other is a political institution ('Roman Senate', organization). They are related (both part of Roman state) but not identical."
84,359,Roman legionary,Roman religion,0.45920992638235686,0.6,False,0.95,"The two entities refer to distinct concepts: one is a type of soldier (a collective group of people serving in the Roman military) while the other is the system of religious practice and ritual in Rome. They are related (Roman legionaries participated in Roman religion), but they are not the same historical entity and should not be merged."
